criterion,Coverage,Total_Goals,Covered_Goals,Size,Length,MutationScore
BRANCH,1.0,21,21,3,17,0.312
BRANCH,1.0,21,21,3,18,0.336
BRANCH,1.0,21,21,3,19,0.4
BRANCH,1.0,21,21,4,27,0.272
BRANCH,1.0,21,21,3,20,0.408
BRANCH,1.0,21,21,4,30,0.176
BRANCH,1.0,21,21,3,17,0.352
BRANCH,1.0,21,21,3,23,0.336
BRANCH,1.0,21,21,4,25,0.28
BRANCH,1.0,21,21,3,14,0.256
BRANCH,0.0,21,0,0,0,0.0
BRANCH,1.0,21,21,4,23,0.384
BRANCH,1.0,21,21,3,13,0.208
BRANCH,1.0,21,21,4,26,0.344
BRANCH,1.0,21,21,3,20,0.432
BRANCH,0.0,21,0,0,0,0.0
BRANCH,1.0,21,21,4,26,0.424
BRANCH,1.0,21,21,3,22,0.32
BRANCH,1.0,21,21,2,12,0.312
BRANCH,1.0,21,21,4,24,0.4
BRANCH,1.0,21,21,4,24,0.2
BRANCH,1.0,21,21,3,16,0.408
BRANCH,1.0,21,21,4,28,0.36
BRANCH,1.0,21,21,5,33,0.32
BRANCH,1.0,21,21,3,24,0.304
BRANCH,1.0,21,21,3,22,0.288
BRANCH,1.0,21,21,2,12,0.36
BRANCH,1.0,21,21,4,23,0.288
BRANCH,1.0,21,21,3,22,0.384
BRANCH,1.0,21,21,2,13,0.344
