criterion,Coverage,Total_Goals,Covered_Goals,Size,Length,MutationScore
BRANCH,1.0,18,18,6,6,0.7131147540983607
BRANCH,1.0,18,18,6,6,0.7540983606557377
BRANCH,1.0,18,18,6,6,0.7049180327868853
BRANCH,1.0,18,18,6,6,0.7377049180327869
BRANCH,1.0,18,18,6,6,0.7049180327868853
BRANCH,0.9444444444444444,18,17,5,5,0.5983606557377049
BRANCH,1.0,18,18,6,6,0.7295081967213115
BRANCH,1.0,18,18,6,6,0.6967213114754098
BRANCH,1.0,18,18,6,6,0.7622950819672131
BRANCH,1.0,18,18,7,7,0.7131147540983607
BRANCH,0.7222222222222222,18,13,4,4,0.4098360655737705
BRANCH,0.8333333333333334,18,15,4,4,0.6147540983606558
BRANCH,0.3888888888888889,18,7,3,3,0.05737704918032787
BRANCH,0.8333333333333334,18,15,4,4,0.6229508196721312
BRANCH,0.9444444444444444,18,17,5,5,0.7295081967213115
BRANCH,0.8888888888888888,18,16,6,6,0.6147540983606558
BRANCH,0.6111111111111112,18,11,3,3,0.4016393442622951
BRANCH,0.8888888888888888,18,16,4,4,0.4262295081967213
BRANCH,0.7222222222222222,18,13,4,4,0.5819672131147541
BRANCH,0.7777777777777778,18,14,3,3,0.5983606557377049
BRANCH,0.8888888888888888,18,16,5,5,0.6147540983606558
BRANCH,1.0,18,18,6,6,0.7295081967213115
BRANCH,1.0,18,18,6,6,0.7131147540983607
BRANCH,1.0,18,18,6,6,0.6311475409836066
BRANCH,1.0,18,18,6,6,0.7295081967213115
BRANCH,1.0,18,18,6,6,0.6639344262295082
BRANCH,1.0,18,18,6,6,0.7049180327868853
BRANCH,0.8888888888888888,18,16,5,5,0.6475409836065574
BRANCH,1.0,18,18,6,6,0.7213114754098361
BRANCH,1.0,18,18,6,6,0.7049180327868853
